sp,ETH,853.23
mg,IPoIB,35.51
is,IPoIB,14.05
bt,IPoIB,685.36
ep,IPoIB,37.23
cg,ETH,767.13
ft,IB,144.22
lu,IB,223.87
lu,IPoIB,271.56
ft,ETH,1584.96
ep,ETH,37.63
sp,IPoIB,606.85
ep,IB,37.57
sp,IB,480.39
bt,ETH,562.15
is,ETH,151.14
mg,ETH,86.43
bt,IB,413.93
cg,IB,183.53
ft,IPoIB,166.80
lu,ETH,308.93
mg,IB,35.67
cg,IPoIB,182.52
is,IB,10.39
mg,ETH,86.12
is,ETH,151.20
bt,IPoIB,701.54
mg,IB,34.78
cg,IPoIB,182.23
sp,IPoIB,607.27
ep,ETH,42.91
ep,IB,36.99
cg,IB,181.96
is,IB,10.64
mg,IPoIB,34.01
ft,IB,144.10
sp,ETH,859.07
bt,IB,412.42
bt,ETH,559.61
is,IPoIB,15.69
ft,ETH,1583.11
sp,IB,483.54
lu,ETH,302.89
cg,ETH,769.02
lu,IB,224.38
ep,IPoIB,39.10
ft,IPoIB,168.58
lu,IPoIB,269.47
cg,IB,183.22
ep,ETH,37.95
sp,IPoIB,602.25
sp,ETH,859.26
ep,IPoIB,38.38
lu,ETH,308.10
ep,IB,37.30
lu,IB,224.79
sp,IB,483.53
bt,IPoIB,690.62
cg,IPoIB,182.84
bt,IB,412.04
ft,IPoIB,170.41
ft,ETH,1583.31
is,IPoIB,13.96
cg,ETH,769.57
mg,ETH,85.64
is,IB,10.90
ft,IB,144.05
is,ETH,151.84
mg,IPoIB,35.39
lu,IPoIB,287.04
mg,IB,34.53
bt,ETH,555.27
ft,ETH,1585.38
is,IB,10.48
sp,ETH,859.83
mg,IB,35.84
is,IPoIB,15.32
lu,ETH,307.02
mg,ETH,84.35
ft,IB,144.36
bt,IPoIB,683.22
cg,IB,182.14
lu,IPoIB,273.29
sp,IPoIB,595.04
bt,IB,414.01
bt,ETH,559.69
lu,IB,222.95
ep,ETH,37.13
cg,IPoIB,181.80
is,ETH,151.41
ep,IPoIB,43.33
cg,ETH,770.99
mg,IPoIB,34.52
ft,IPoIB,174.27
sp,IB,484.19
ep,IB,37.10
ep,ETH,38.17
is,IPoIB,15.21
cg,IB,185.42
ep,IPoIB,38.32
ft,IB,143.75
bt,IPoIB,699.65
cg,ETH,772.17
is,ETH,151.52
mg,IB,34.01
lu,ETH,316.47
ft,IPoIB,179.30
ft,ETH,1584.99
lu,IPoIB,281.59
is,IB,10.86
sp,ETH,862.19
mg,ETH,85.10
mg,IPoIB,34.80
sp,IPoIB,602.67
sp,IB,482.65
cg,IPoIB,180.76
lu,IB,225.15
bt,ETH,560.77
ep,IB,37.63
bt,IB,412.92
sp,ETH,864.73
sp,IB,484.65
sp,IPoIB,598.56
mg,IB,34.33
bt,ETH,562.37
lu,IPoIB,286.28
ft,IB,144.03
bt,IB,412.07
cg,IPoIB,180.51
is,IB,10.38
ft,ETH,1586.05
is,IPoIB,15.26
ep,IB,37.17
mg,ETH,83.80
bt,IPoIB,682.40
lu,IB,224.59
mg,IPoIB,34.61
ep,IPoIB,37.29
is,ETH,151.11
ep,ETH,37.40
lu,ETH,311.16
cg,ETH,773.28
cg,IB,183.03
ft,IPoIB,168.91
is,IPoIB,15.63
is,ETH,151.14
mg,IB,35.46
cg,IB,184.63
ft,ETH,1582.59
lu,IB,224.13
mg,IPoIB,35.23
ep,IPoIB,37.13
sp,IB,480.80
bt,IPoIB,672.39
mg,ETH,83.97
ft,IB,143.51
bt,ETH,557.82
ep,ETH,36.96
cg,ETH,766.78
bt,IB,414.41
sp,ETH,867.33
cg,IPoIB,183.46
is,IB,10.79
ft,IPoIB,158.78
lu,ETH,309.18
ep,IB,37.45
sp,IPoIB,592.16
lu,IPoIB,271.83
sp,ETH,865.28
cg,IB,185.94
lu,ETH,312.67
cg,ETH,768.92
ft,ETH,1584.35
ft,IPoIB,170.00
bt,ETH,558.03
ep,ETH,37.65
is,ETH,151.02
cg,IPoIB,178.40
lu,IPoIB,285.72
ep,IB,37.09
ft,IB,146.30
is,IPoIB,15.21
mg,ETH,87.46
sp,IPoIB,598.27
mg,IPoIB,33.58
lu,IB,222.69
ep,IPoIB,38.82
bt,IPoIB,690.83
is,IB,10.22
mg,IB,35.54
sp,IB,484.38
bt,IB,413.27
sp,IPoIB,602.61
bt,IB,412.13
mg,IB,34.57
lu,IPoIB,273.75
bt,ETH,555.03
mg,ETH,87.89
ft,IPoIB,173.01
mg,IPoIB,35.02
bt,IPoIB,688.13
sp,IB,483.57
lu,ETH,313.10
lu,IB,224.08
ft,ETH,1582.87
sp,ETH,860.41
is,IB,10.88
is,ETH,151.50
ep,IB,37.43
cg,ETH,767.79
is,IPoIB,15.05
ep,IPoIB,37.13
ep,ETH,37.23
ft,IB,144.50
cg,IPoIB,182.08
cg,IB,183.18
ep,IPoIB,38.33
ft,IPoIB,165.93
sp,ETH,863.86
mg,IPoIB,34.91
is,IB,10.63
lu,IPoIB,284.54
mg,IB,33.59
is,IPoIB,14.89
lu,IB,226.65
ft,ETH,1584.57
bt,IPoIB,693.80
ep,ETH,37.04
is,ETH,151.27
bt,ETH,559.32
cg,ETH,768.76
lu,ETH,305.66
bt,IB,413.08
sp,IB,482.28
sp,IPoIB,610.77
mg,ETH,84.89
cg,IPoIB,182.96
ep,IB,37.18
cg,IB,182.82
ft,IB,143.70
bt,ETH,559.68
is,IPoIB,13.91
sp,ETH,859.49
lu,IPoIB,278.45
is,IB,10.49
ep,ETH,37.41
ft,IPoIB,170.68
bt,IPoIB,700.70
mg,ETH,84.53
sp,IB,484.25
ft,ETH,1583.60
lu,ETH,305.95
is,ETH,151.26
cg,IB,183.94
ep,IPoIB,37.12
bt,IB,412.42
ft,IB,143.32
mg,IPoIB,35.37
mg,IB,35.57
lu,IB,225.67
ep,IB,37.35
cg,ETH,768.93
sp,IPoIB,599.98
cg,IPoIB,183.64
lu,IPoIB,269.10
mg,ETH,86.60
is,ETH,151.04
sp,ETH,864.73
sp,IB,484.84
bt,IB,413.43
mg,IB,34.69
bt,IPoIB,696.22
ft,ETH,1584.36
ft,IPoIB,168.34
ft,IB,144.17
ep,IB,37.18
ep,ETH,37.31
is,IPoIB,13.73
cg,ETH,769.53
ep,IPoIB,38.61
lu,ETH,305.35
cg,IB,182.31
mg,IPoIB,34.58
bt,ETH,559.58
is,IB,10.62
sp,IPoIB,594.79
cg,IPoIB,180.56
lu,IB,224.10
mg,IB,33.88
cg,IPoIB,180.58
is,ETH,151.08
