"name","run.no.in.std.order","run.no","run.no.std.rp","kernels","inputs","btl","Blocks"
"1","14",1,"14.1","sp.","D.x","^tcp",".1"
"2","25",2,"25.1","bt.","D.x","tcp,self",".1"
"3","4",3,"4.1","mg.","C.x","^tcp",".1"
"4","7",4,"7.1","is.","C.x","^tcp",".1"
"5","1",5,"1.1","bt.","C.x","^tcp",".1"
"6","2",6,"2.1","ep.","C.x","^tcp",".1"
"7","23",7,"23.1","is.","C.x","tcp,self",".1"
"8","11",8,"11.1","cg.","D.x","^tcp",".1"
"9","32",9,"32.1","ft.","D.x","tcp,self",".1"
"10","18",10,"18.1","ep.","C.x","tcp,self",".1"
"11","19",11,"19.1","cg.","C.x","tcp,self",".1"
"12","28",12,"28.1","mg.","D.x","tcp,self",".1"
"13","10",13,"10.1","ep.","D.x","^tcp",".1"
"14","24",14,"24.1","ft.","C.x","tcp,self",".1"
"15","20",15,"20.1","mg.","C.x","tcp,self",".1"
"16","29",16,"29.1","lu.","D.x","tcp,self",".1"
"17","9",17,"9.1","bt.","D.x","^tcp",".1"
"18","15",18,"15.1","is.","D.x","^tcp",".1"
"19","5",19,"5.1","lu.","C.x","^tcp",".1"
"20","22",20,"22.1","sp.","C.x","tcp,self",".1"
"21","16",21,"16.1","ft.","D.x","^tcp",".1"
"22","12",22,"12.1","mg.","D.x","^tcp",".1"
"23","13",23,"13.1","lu.","D.x","^tcp",".1"
"24","26",24,"26.1","ep.","D.x","tcp,self",".1"
"25","27",25,"27.1","cg.","D.x","tcp,self",".1"
"26","8",26,"8.1","ft.","C.x","^tcp",".1"
"27","6",27,"6.1","sp.","C.x","^tcp",".1"
"28","21",28,"21.1","lu.","C.x","tcp,self",".1"
"29","30",29,"30.1","sp.","D.x","tcp,self",".1"
"30","3",30,"3.1","cg.","C.x","^tcp",".1"
"31","31",31,"31.1","is.","D.x","tcp,self",".1"
"32","17",32,"17.1","bt.","C.x","tcp,self",".1"
"33","3",33,"3.2","cg.","C.x","^tcp",".2"
"34","6",34,"6.2","sp.","C.x","^tcp",".2"
"35","10",35,"10.2","ep.","D.x","^tcp",".2"
"36","30",36,"30.2","sp.","D.x","tcp,self",".2"
"37","31",37,"31.2","is.","D.x","tcp,self",".2"
"38","15",38,"15.2","is.","D.x","^tcp",".2"
"39","20",39,"20.2","mg.","C.x","tcp,self",".2"
"40","26",40,"26.2","ep.","D.x","tcp,self",".2"
"41","12",41,"12.2","mg.","D.x","^tcp",".2"
"42","23",42,"23.2","is.","C.x","tcp,self",".2"
"43","28",43,"28.2","mg.","D.x","tcp,self",".2"
"44","8",44,"8.2","ft.","C.x","^tcp",".2"
"45","24",45,"24.2","ft.","C.x","tcp,self",".2"
"46","22",46,"22.2","sp.","C.x","tcp,self",".2"
"47","7",47,"7.2","is.","C.x","^tcp",".2"
"48","29",48,"29.2","lu.","D.x","tcp,self",".2"
"49","19",49,"19.2","cg.","C.x","tcp,self",".2"
"50","21",50,"21.2","lu.","C.x","tcp,self",".2"
"51","14",51,"14.2","sp.","D.x","^tcp",".2"
"52","2",52,"2.2","ep.","C.x","^tcp",".2"
"53","13",53,"13.2","lu.","D.x","^tcp",".2"
"54","16",54,"16.2","ft.","D.x","^tcp",".2"
"55","11",55,"11.2","cg.","D.x","^tcp",".2"
"56","1",56,"1.2","bt.","C.x","^tcp",".2"
"57","32",57,"32.2","ft.","D.x","tcp,self",".2"
"58","27",58,"27.2","cg.","D.x","tcp,self",".2"
